word	meaning	sent_lc	sent_en
gato (n.)	cake	M'ashté ìn gato. Li té tou fé é li té bon.	I bought a cake. It was ready-made and it was good.
gayar (1. adj., 2. n.)	1. healthy<br>2. guy, fellow	1. Ti-la té malad, mé li gayar astær.<br>2. Ça çé gaya ki chwé nom-la. Çé gaya-çala ki fé ça.	1. The child was sick, but he's healthy now.<br>2. That's the guy who killed the man. It's that man who did it.
gazolinn (n.)	gasoline	Çé not gazolin pi dizeul pou met ça dan lê mashin.	That is our gasoline and diesel to put in the engines.
gém (n.)	game	Çé ìn gém Fronsé, gém pou lê Kadjin. Té pel ça bouré.	It's a French game, a Cajun game, they called it Bourré.
géri (v.)	1. to heal, get better<br>2. to cure	1. Mo té gen ìn bobo. Li geri byen.<br>2. Mo koné géri to bobo to gen apré tô janm avek lagres poul. To met souf endan lagres poul-la. Ça géri.	1. I had a sore. It healed well.<br>2. I know how to cure your wound you've got on your leg with chicken fat. You put sulphur in the chicken grease. It heals.
gérison (n.)	cure	Ina pa gérison.	There is no cure.
gèté, gèt (v.)	1. to watch, look at<br>2. to watch, keep an eye on<br>3. to spy on<br>4. to watch out, be careful!	1. Mo lìnm geté televizyon. Mo lìnm geté mô zanfan jwé laplot.<br>2. To gen piti en lagaldri. Mo gen pou geté li pa pou li tombé.<br>3. Nouzot t'apé geté yé dan krak.<br>4. Geté! Ina keken deryær to do é l'ap alé fou twa.	1. I like to watch TV. I like to watch my children play baseball.<br>2. You've got a child on the porch. I've got to watch him so he don't fall.<br>3. We would watch them through a crack.<br>4. Look out! There's someone behind your back and he's going to hit you.
gin (v.)	1. to have<br>2. to be (an age)	1. Prosh tou-le-jou nou gen diferan menyou.<br>2. Ki laj to gen?	1. Almost everyday we have a different menu.<br>2. How old are you.
gin drwa (v.)	to be allowed to, to have the right to	"Vou konné," li di, "astær tou moun zegal, vou gen drwa pou voté paréy kom mwa."	"You know," he said, "now everyone is equal, you have the right to vote just like me."
gin lashans (v.)	1. to have the chance to<br>2. to have luck, to be lucky	1. Mo té si malad mo pa gen lashans pou ekri mô lord.<br>2. Mo té gen lashans. Blan kom nwa té okip apré mon.	1. I was so sick I didn't have the chance to write up my order.<br>2. I was lucky. WHites and blacks alike looked out for me.
gin lèr (v.)	to seem, to appear	Marshé dousman, ça gen lær li malad.	She walked slowly, it seemed like she was sick.
gin pœr (v.)	 to be afraid	La lê bon Françé ki sorti a la Frans vini resté isit. La yé yé vini lê gro moun-la é lê Kadjen té gen pœr!	Then the real French, who came from France came to live here and they became wealthy and the Cajuns were afraid!
gin pou (v.)	to have to	No té gen pou alé mé no shanjé nô nidé.	We were going to go but we changed our minds.
gin rézon (v.)	to be right	L'apé di la verité. Li gen foutiman rézon.	He's telling the truth. He's really right.
gin toupé (v.)	to have nerve	Mo t'apé atan é çé té mô tourn mé keken dot pasé dévan mò. Ina moun ke gen toupé!	I was waiting and it was my turn but someone else went in front of me. Some people have nerve!
gita (n.)	guitar	Inavé ìn benn la mìzik avek ìn kornen, gita é tanmbou.	There was a music band with a tumpet, guitars and drums.
(la)glas (n.)	ice, frost	Ina ça laglas en shmen aswa. Yê fé fré. Çé ap alé fé laglas.	There'll be ice on the road tonight. It's cold out. It's going to ice up.
glasyær (n.)	refrigerator, freezer, icebox	Mo gen ìnta restan dan glasyé.	I've got a lot of leftovers in the refrigerator.
(la)gli (n.)	slime	To jish graté pou oté lalgli-la.	You just skin it to take off the slime.
gogo (n.)	butt	Ina moun ka di ça çé vô gogo, ina moun ka di ça çé vô deryær. Vo ka di ça çé mô chi, o kekishoj konm ça.	There are people who call that your butt, there are people who say it's your behind. You can say it's my "ass" or something like that.
gombo (n.)	1. gumbo<br>2. okra	1. Atan jishka to presk paré pou tourné tô gombo off avan to met tô shevré endan, parské to konné to va kwi yé va fé yé tro dìr.<br>2. kan ìn piti té gen ìn deklou, yé té pren ìn fler on ìn gombo. É fé ìn katalpa, met ça on la.	1. Wait until you're almost ready to turn your gobo off before you put your shrimp in, because you know cooking them too long makes them hard.<br>2. When a child had a boil they would take the flower from an okra plant and make a poultice to put on it.
gonn (v.)	1. to go, to leave<br>2. to die	1. Mo las. M'ap gonn kousé.<br>2. Vou konné vou gen chwé mò nou de gen gonn.	1. I'm tired. I'm going to bed.<br>2. You know you kill me we're both dead.
gosh (adj.)	1. left<br>2. awkward, clumsy	1. Yé gen&nbsp; pou oté mwa ìn ti kataral dan mô zyé gosh.<br>2. Kan Jean Sot rivé koté rwa-la yé prend ri a for Jean té parét gosh.	1. They have to remove a small cataract from my left eye.<br>2. When Foolish John arrived at the king's they started laughing because he looked so awkward.
Gòlf (n.)	Gulf of Mexico	Vou lwé lê gro bato, vou bezwen ìn gro zafær kom ça pou kouri laba dan Golf.	You rent a big boat, you need a big thing like that to go out in the Gulf.
gout (n.)	drop	Té gen ìn gran jar, shak fwa mo sé kouri dan lamagazen-la mo sé pran mò ìn ti gout.	She had a big jar, each time I would go in the store I would take a little drop.
gouté, gou (v.)	to taste	La ça té gouté bon.	That tasted good.
gran (adj.)	 1. tall, grand<br>2. big<br>3. &nbsp;great (kinship terms)	1. Çé ìn fiy ki baset. Li pa gran.<br>2. Li gen ìn gran moustash.<br>3. Çé sô gran-gran-gran-piti.	1. She's a short girl. She's not tall.<br>2. He has a big mustache.<br>3.&nbsp; They are his great-great-grandchildren.
grandi (v.)	1. to grow up<br>2. to grow	1. Piti-la grandi tro vit pou sô laj.<br>2.&nbsp;	1. The child is growing up too fast for his age.<br>2.
gran-mær, gran-moman (n.)	grandmother, grandma	Mô gran-moman é mô gran-popa né isit.	My grandmother and my grandfather were born here.
gran-moun (n.)	1. old people<br>2. grandparents<br>3. famous person<br>4. adult		
gran-paren (n.)	grandparent		
gran-pær, gran-popa (n.)	grandfather, granpa	Mo kouri véyé mô gran-pær.	I'm going to the wake for my grandpa.
gran-ouvær (adj.)	wide open	Lontem pasé me sé jamé fermé mô lapot. Kité li gran-ouvær.	A long time ago I never used to shut my door. I kept it wide open.
gran-ti-zenfan (n.)	 great grandchild		
graté, grat (v.)	1. to scrape<br>2. to scratch<br>3. to grate<br>4. to scale a fish<br>5. to skin<br>6. to strike a match	1. Nou graté sô sabo wa si té ìn deklou ke té endan.<br>2. L'apé graté li parské de fromi rouj piké li.<br>3. Vou ka graté li met dan tomato ketchup.<br>4. Mo graté mô patasa pou oté zékay.<br>5. To jish graté pou oté lagli-la.<br>6. Li graté zalimet-la pou lìmen dìfæ.	1. We scraped his hoof to see if he had a nail in it.<br>2. He's scratching himself because red ants bit him.<br>3. You can grate it and put it in ketchup.<br>4. I scaled my sunfish to take the scales off.<br>5. You just skin it to take off the slime.<br>6. He struck a match to light a fire.
(la)grènn (n.)	1. seed<br>2. pit (fruit)<br>3. grain, kernel (corn, rice, sugar)<br>4. testicles	1. Kan to plant koton to plant lagrenn-yé tou dilon.<br>2. Ìn soko, li gen ìn ti lagrenn, li gen ìn lekosh en la.<br>3. Li koup lagrenn-la plì fen.<br>4. Ìn etalon, to pe pa gadé tou lê etalon. Ti wa çé grenn? In nonm vyen la, li koup avek ìn kouto, é pi oté sô grenn.	1. When you're planting cotton you plant the seeds all along.<br>2. A muscadine grape, it has a seed inside and a shell outside.<br>3. He grinds the grains of sugar up finer.<br>4. A stallion, you can't keep every stalion. You see his testicles? A man comes along with a knife and cuts them off and removes his testicles.
griyé, griy (v.)	 to grill, to roast	Mo met mô morso lavyan dan mô lapwal é mo griyé li.	I put my pieces of meat in my frying pan and I grill it.
gro (adj.)	1. big, grand<br>2. tall, grand<br>3. important, grand<br>4. eldest	1. Çé ìn gro danbwa en abitasyon-la.<br>2. Yé té plì gro ke mò.<br>3. Lot boug-la ki té jwé réglé pou gro blan-yé.<br>4. Mô gro garson.	1. There's a big swamp on this plantation.<br>2. They were taller than me.<br>3. The other guy who played regularly for the important whites.<br>4. My oldest boy.
gro tem (n.)	storm	Tem-la brouyasé jodi. Li sìpozé pou kalm, mé ina ìn gro tem ke apé vini.	The weather is drizzly today. it's supposed to be calm, but there's a big storm coming.
grosi (v.)	1. to grow up<br>2. to grow<br>3. to get fat<br>4. to grow (raise)	1. Mô mari, sô-chenn popa parlé meriken avek li kan li té vini op, kan li t'apé grosi.<br>2. To planté tô patat mé yé pa apé grosi.<br>3. T'ap grosi. T'ap vini tro gra.<br>4. Çé di pou grosi yé isit astær. Pa ka grosi depesh, yé vyen pa gro.	1. My husband, his own father spoke english to him when he was growing up.<br>2. You planted your potatoes but your not growing.<br>3. You're getting fat. You're getting too fat.<br>4. It's hard to grow them here now. You can't grow peaches, they don't get very big.
(la)grosri (n.)	grocery store	Alon alé grosri.	Let's go to the grocery store.
grouyé, grouy (v.)	1. to move, move around<br>2. to rock, sway<br>3. to shake	1. T'apé grouyé ìn pe dousman. Kofé to pa grouyé plì vit ke ça.<br>2. Ìn vilen loragan tonbé en yé. Navir-la grouyé plen, mé li chombo ìn bon bout tem.<br>3. Lontem pasé yé té fé matla avek lapay. Yé gen ap pren ìn baton tou lê maten é soukouyé li byin. Otréman çé vini tou dìr si to çé pa grouyé li avek baton-la.	1. You're moving slowly. Why don't you move faster than that?<br>2. A nasty storm cam upon them. The ship rocked about, but it held on for a good while.<br>3. A long time ago they made mattresses out of straw. they had to take a stick every morning and shake it well. Otherwise it would get hard if you didn't shake it with the stick.
(la)hansh (n.)	hip	Mo tombé é fé mo lahansh mal.	I fell and hurt my hip.
(la)hash (n.)	axe	Ìn lamas, çá gen ìn lamansh kom ìn lahash.	A sledgehammer has a handle like an axe.
hélé, hèl (v.)	1. to yell, call out, shout<br>2. to chirp, sing<br>3. to bray	1. Hélé apré piti-yé. Fé yé areté voyé kayou apré ìn-a-lot.<br>2. Ìn ki hélé la, mo pa koné ayou li yé, dan dibwa, kek plas.<br>3. Mìle-la hélé.	1. Yell at those kids. Make them stop throwing stones at each other.<br>2. There is one (mockingbird) singing, I don't know where he is, in the woods somewhere.<br>3. The mule is braying.
hé! (int.)	hey!		
hont (n.)	shame	Çé ìn hont lamanyær yé fé piti-la.	It's a shame the way they treated the child.
hòl (n.)	dancehall	Hol-la plen moun.	The dance hall was full of people.
ibou (n.)	owl	L'apé asit en ìn bransh kom ìn ibou.	He's sitting on a branch like an owl.
ifo (phr.)	it is necessary to, to have to, must	To tro fronté avek tô moman. ifo pa to parl kom ça avek tô moman.	You're too sassy with your mamma. You musn't talk like that to your momma.
imid (adj.)	 wet, damp, moist	Yé tord lavet-la, é yé shesh lasyet-la avek lavet-la ìmid.	They wring out the dishrag and they dry the plate off with the dishrag damp.
inpòsib (adj.)	impossible	Çé inposib pou mo fé ça t'olé jodi. Mo pa kapab.	It's impossible for me to do what you want today. I can't.
in (n.)	a(n)		
in lòt, in nòt (prep.)	another	Mo gin in frè dan vil, épi in lòt ki rès isi.	I have one brother in the city, and another one who lives here.
in pe (n.)	a little, a little bit (of)	Pètèt yé sé mèlé ça avèk in pe wiski.	They might have mixed that with a little whiskey.
in ta (adv., adj.)	much, a lot (of)	Tou di-long o bòr shmenn, inavé in ta zòdi.	All along the edge of the road, there was a lot of trash.
ina (v.)	1. there is, there are<br>2. since, for, during<br>3. ago	1. Ina dìpen, ina dìlé, ina ìn pobon jenm enba frijidé-la.<br>2. M'ap resté endan la Louzyon ina diz-an.<br>3. Fenm-la li mouri ina kat an, senk an.	1. There's bread, there's milk, there's a jar of jam at the bottom of the refrigerator.<br>2. I've lived in Louisiana for ten years.<br>3. That woman died four or five years ago.
inavé (v.)	there was, there were	Yé té si konten, inavé si lontem yé té pa kontré.	They were so happy, they hadn't met up in such a long time.
inik (adj.)	 unique		
Insiswatil (phr.)	Amen	Nom de Pær, é de Fis, é de Sent Espri, ensi-swat-il.	In the name of the father, the son and the holy spirit, amen.
intérèsé (adj.)	interesting, interested	Li interesé dan mwa. L'ap fé zyé dou apré ma.	He's interested in me. He's winking at me.
isit (prep.)	here	Mô moman, popa, tou té résté la isit, çé ça ki fé mo isi.	My mom and my dad lived here, that's why I'm here.
italyin (n., adj.)	Italian		
iti (adj.)	useful	Mo té gen ìn galenren isi, çé ìn zafær ki iti.	I had a plane here, it's a thing that is useful.
itou (conj.)	also, too	Kan yé va chez mom, mom parl ça epi mô popa parl ça&nbsp;itou.	When they go to mom's, mom speaks that (Creole) and my dad speaks that too.
izé (adj.)	easy	To ja fé etoufé? Etoufé çé izé pou fé.	Have you ever made an etoufee? Etoufee is easy to make.
izé, iz (v.)	1. to wear out<br>2. to use	1. Si to met tô lamant tou-le-jou, t'apé izé li.<br>2. Ça çé donné yé in lashans pou izé yé nouvo langaj.	1. If you wear your watch every day, you're going to wear it out.<br>2. That would give them a chance to use their new language.
jakèt (n.)	jacket	Ça té fé fresh, ça fé mo met mô jaket.	It was cool out, so I put on my jacket.
janm (n.)	1. leg<br>2. lower half of leg (between knee and foot)	1. Mô janm apé dormi. Mo gen ìn lakramp endan mô lajanm é çé lour.<br>2. Janm çé iska koté tô jnou.	1. My leg is asleep. I have a cramp in my leg and it's heavy.<br>2. The leg is up until your knee.
jambalaya (n.)	jambalaya	Kan to fé ìn jambalaya, to met tô zepi é tô touf ìn pe tô lavyann é to met diri. Çé kofær yé pel ça jambalaya. To gen tou ça malanjé ensanm.	When you make a jambalaya, yuo&nbsp; put your onion and garlic mixture and you smother your meat a bit and you put in the rice. That's why they call that jambalaya. You've go everything all mixed together.
jamé (adv.)	1. never<br>2. ever<br>3. still not	1. Ça çé ìn menti ça. Mo jamé di ça.<br>2. Senm kom si, dan le jen jan le kishoj apé kouri plì mal ke jamé.<br>3. Li jamé wa Lapen. Lapen laba apé dormi!.	1. That's a lie. I never said that.<br>2. It seems like it, for the young people things are going worse than ever.<br>3. She still didn;t see Rabbit. Rabbit was down there sleeping!
janvyé (n.)	January	Prìmyé de janvyé to va swaté bonjour bon lanmen.	On the first of January you go wish Happy New Year.
japé, jap (v.)	to bark	Ina ìn shyìn k'ap japé a onz-ær la é mo pa kapab dormi.	There's a dog who's barking at eleven o'clock and I can't sleep.
jardìn (n.)	garden	Mo met ìn bonom fé a lapay endan mô jarden.	I put a scarecrow made of straw in my garden.
jardìnaj (n.)	vegetables 	Nou se planté le patat é le jardìnaj, é nou se manjé ça.	We would plant potatoes and vegetables and we would eat that.
jedi (n.)	Thursday	Ça rivé dan la smenn kat jedi.	That will happen in the week of four Thursdays.
jilé, jlé (n., v.)	1. frost<br>2. jelly<br>3. to shiver<br>4. to freeze	1. Piti Bouki pa pi rivé koté dife paské inavé ìn gro jilé déyo.<br>2. Amaten mo manjé jilé é preno avek ìn ver dìlé.<br>3. Jour-la li té fé byin fret, tou moun yé t'apé jilé.<br>4. Si fre vini, li jilé li, li heg.	1. Bouki's child could not reach the fire because there was a big frost outside.<br>2. This morning I ate jelly and prunes with a glass of milk.<br>3. That day was very cold, everyone was shivering.<br>4. If the cold comes, it freezes, it gets sour.
jeté, jèt (v.)	1. to throw<br>2. to throw away<br>3. to tear down<br>4. to spill, knock over	1. Kan piti-yé manj, yé jèt manjé en planshè.<br>2. Mo prèsé papyé-la, é mo jèté li.<br>3. Divan-la jèté mô garaj. Mo gen pou rebati li.<br>4. Kò fé t'apé baskilé? To va fé li mal o to va jeté li.	1. When babies eat, they throw their food on the floor.<br>2. I wadded up the paper and I threw it away.<br>3. The wind knocked over my garage. I had to rebuild it.<br>4. Why are you shoving him around? You're going to hurt him or you're going to knock him over.
jìlyèt (n.)	July	Çé le kat de jìlyet. L'apé tiré ìn ta de péta.	It's the Fourth of July. He's shooting a lot of firecrackers.
jiska (prep.)	until	Mo va resté jishka la smen ki vyen.	I'm going to stay until the week coming up.
(la)jistis (n.)	justice	Lontem pasé ìn pa la jistis. Yé té fé kom yé t'olé.	Long ago there was no justice. They did what they wanted.
jish (1. adj., 2. adv.)	1. just, fair<br>2. just, only, simply<br>3. to have just (recently done something)	1. The man who runs the grocery store on Lake Road, he's fair with people.<br>2. We were seven brothers. There are only two of us left, myself and one in New Orleans.<br>3. My sister just left, she couldn;t stay because her husband is sick.	1. Nom-la ki galopé ìn lagrosrien Shmen Lak, li jish avek moun.<br>2. Nou té set frær. Ina jish dé ki res, mo avek ìn dan vil.<br>3. Mô sœr jish kité, li té pa ka resté paské sô mari malad.
jnou (n.)	knee	Mo krwa mo gen romatis dan mô jnou. Li fé mwa mal kan mo marshé.	I think I've got arthritis in my knee. It hurts when i walk.
joli (adj.)	1. pretty, beautiful<br>2. nice, pleasant	1. Lapli fini é apré mo wa ìn joli lark-an-syel.<br>2. Çé ìn joli boug.	1. The rain finished and after I saw a pretty rainbow.<br>2. He's a nice guy.
jolimen (adv.)	1. a lot, quite a bit, often<br>2. rather, quite, very	1. É nou té senk dan kabann. Mé moun-yé té toujou apré mwa, é jish t'ap vini joliman anbeté mwa osi!<br>2. Mo frær joliman malad.	1. And we were five of us at home. But people were always after me, and even you are often coming to bother me!<br>2. My brother is really sick.
jonglé (pou/enho) (v. phr.)	to think about (pou when a person, enho when a thing)	Ça fé Bouki komensé jonglé enho-la.	So Brer Bouki began to think about it.
jozé (n.)	1. dressy jacket open in the front, gathered on the bottom<br>2. blouse	1. Lontem pasé vyœ femn-yé té met ìn jozékan yé té byìn shanjé. Jozé té gen volan tou-le-tour.<br>2. Kan nou té alé lékol nou té abiyé endan en lajup avek ìn jozé.	1. Long ago, women wore a dressy jacket when they get dressed up. The jacket had a flounce all around.<br>2. When we went to school, we were dressed in a skirt with a blouse.
(o)jòrdi (adv.)	1. today<br>2. these days, nowadays, at present	1. Ki jour çé jordi?<br>2. Lontem pasé mo sé jamé færmé mô lapot. Kité li gran ouvæ. Pa jodi.	1. What day is today?<br>2. A long time ago I never closed my door. Left it wide open. Not today.
jœn (adj., n.)	1. young<br>2. young people, children	1. Mo manj pa otan ke mo té manjé kan mo té pli jenn.<br>2. Vyœ moun-yé di lot jœn-yé, é ça ki té jœn yé vini yé di yé-kenn piti ça.	1. I don't eat as much as I did when I was younger.<br>2. Old people told young folks, and young folks went and told their own children.
joué, jou (v.)	1. to play (a game, a trick, a sport, an instrument,...)<br>2. to play	1. Mo lìnm geté televizyon. Mo lìnm geté mô zanfan jwé la plot.<br>2. To té joué avek yé tou tem kan to té piti.	1. I like to watch television. I like to watch my children playing ball.<br>2. You played with them all the time when you were younger.
jour (n.)	day	Komen jou ça pren?	How many days does it take?
(la)journé (n.)	day, daytime	Li travay dan lajourné.	He works during the daytime.
(la)jwa (n.)	joy	Li gen tèr, li gen lajwa é li parlé kouri-mo-gain-vini.	He owned land, he had joy and he spoke Creole.
jwènn (v.)	1. to meet by chance, to run into<br>2. to meet, get together with<br>3. to meet,&nbsp;make the acquaintance of	1. Nou jwenn en lapli, gro lapli, divan kan nou té apé kouri.&nbsp;<br>2. Si mo té ka drive automobile la mo té ka jwen deo trwa boug-yé dan Shmen Nef.<br>3. Mo ja tandé pou Lafayet mé mo janmé jwenn li.	1. We ran into some rain, heavy rain, and wind when we were going.<br>2. If I could drive a car I would be able to meet two or three guys in New Roads.<br>3. I heard of Lafayette but i have never met him.
jwif (n., adj.)	Jewish	Ìn jwif. Li gen langaj jwif.	A Jewish man will speak the Jewish language.
jwìn (n.)	June	M'ap alé mariyé li. Li sra mô mari dan jwìn.	I'm going to marry him. He'll be my husband in June.
kabinèt (n.)	1. pantry, office<br>2. bathroom<br>3. small room for various uses<br>4. closet<br>5. kitchen cabinet	1.<br>2. Servyet çé pou dan kabinet, é lavet lakìzin.<br>3. Gen de lashanm divon é ìn kabinet deriyæ. Çé ça nou té gen pou nô lakizin, ìn kabinet.<br>4.<br>5. M'ap débarasé mô kabinet. M'ap jété tou ça ki pa bon endan la.	1.<br>2. A bathtowel is for the bathroom, and a dishrag is for the kitchen.<br>3. There are two rooms in frint and a small room in back. That's what we used for our kitchen.<br>4.<br>5. I'm clearing out my cabinets. I'm throwing away everything that's not good in there.
kado (n.)	gift	Kom twa çé ìn bon fiy, mo olé fé twa kado dezef ki parlé.	Since you're a good girl, I want to make you a gift of the talking egg.
kadjìn (adj., n.)	1. cajun language<br>2. Cajun person	1. Moun pa parlé kadjen otour isi.<br>2. Aster ke lê Kadjen vini telmon popiler tou partou dan pey-la, tou keken olé det lê Kadjen.	1. People didn't speak Cajun around here.<br>2. Now that Cajuns have become popular all over the country, everyone wants to be Cajun.
kafé (n.)	coffee	Yé donn mwen ìn tas kafé san dìsìk.	They gave me a cup of coffee without sugar.
kagou (adj.)	out of sorts	Mo pa santi byin jordi. Mo santi kagou jordi.	I don't feel well today. I feel out of sorts today.
kaka (v., n.)	1. shit, feces, dung, crap<br>2. to defecate, shit	1. Mo wa ìn ta kaka, shyin-la shyé par-tær, ça çé ìn ta lamærd.<br>2. Lê zwazo té va monjé ça, é pi yé té va kaka olon lê baryæ, ça té rev olon labaryæ.	1. I see a pile of shit, the dog shit on the ground, there's a pile of shit.<br>2. The birds are that, and then they'd go and defecate along the fences, and that's how it grows along fences.
kalçon (n.)	underwear	Mo met mô lìnj dedsou, mô brasyær é mô kalçon.	I put on my underwear, my bra and my panties.
kalen (n., adj.)	1. boyfriend, lover (male)<br>2. lazy	1. Kalen mô sœr té ìn vayan jen nomn.<br>2. Li gen bon leksperyans. Li pa kalen.	1. My sister's boyfriend was a handsome young man.<br>2. He's got good experience. He's not lazy.
kalin (n.)	girlfriend, lover (female)	Mô garson ashté ìn bel lalyans pou sô kalin.	My son bought a beautiful wedding ring for his girlfriend.
kalité (n.)	kind, type, sort	Yé gen diferan kalité kana é diferan kalité poul.	They have different kinds of ducks and different kinds of chickens.
kammòmèl (n.)	chamomile	Pou vomisman bouyi konmami dan dolo é bwa de ti tas tou-le-jou.	For vomiting, boil chamomile in water and drink two cups of it a day.
(la)kamponñ (n.)	country, countryside	Pou dèt yê fenm, yé olé ìn fiy lakamponñ.	To be their wife, they wanted a girl from the country.
kan (adv. interr., conj., n.)	1. when (question)<br>2. when<br>3. whereas, while	1. Ekan t'ap maryé?<br>2. Kan nou té koupé nouzot, nou té kour trapé ìn fil nañen.<br>3. Li pren sô shar kan mwa krwa li sé marshé.	1. When are you getting married?<br>2. When we cut ourselves, we went to get a spider web.<br>3. He took his car whereas I thought he would walk.
kanar (n.)	duck	La bas-kour çé lê denn, lê poul, lê kanar, de zwa, de pental, çé tou la bas-kour.	Domestic fowl includes turkeys, chickes, ducks, geese, Guinea fowl, all that is domestic fowl.
kanay (adj., n.)	1. mischievous<br>2. slick, clever, cunning<br>3. rascal, scoundrel	1. To kanay. To vo myœ arété nishé piti-la.<br>2. Kan to pesh dan larivyè, ina de vyœ ti torti ki vyen enbeté lalign. Yé plen koken. Yé kanay, kanay, kanay.<br>3. Épi pou pa vou krwa ke mwa çé ìn kanay, m'apé donn vou shak ìn joli ti lekay.	1. You're mischevious. You'd better stop picking on that child.<br>2. When you fish in the river, there are little old turtles that come and disturb the line. They're slick, they're clever, clever, clever.<br>3. Just so you don't think I'm a rascal, I'll give each of you a pretty little shell.
(dé)kann (n.)	sugarcane 	Mo travayé dan koupé la kann.	I worked cutting the cane.
ka (v. mod.)&nbsp;	1. can, to be able to<br>2. may, to be allowed to	1. Nou té senk sœr é set frær, é çé mo ki ka parlé ça.<br>2. Ina pa bokou pærson k'apé maryé. É yé kapab!.	1. we were five sisters and seven brothers and I'm the only person who can speak that (Creole).<br>2. They're aren't a lot who are married. Yet they are allowed to do it!
kapitènn (n.)	captain	Dan servis ina de kapitenn, de kaporal, tou kalité.	In the service there are captains and corporals of every kind.
kapo (n.)	1. coat<br>2. suit, jacket	1. Dan liver fo no met nô kapo.<br>2. Li t'apé alé legliz. Alor, li met sô kilot, sô shimij é sô kapo.	1. In a strong winter we put on our coat.<br>2. He was going to church. So he put on his pants, his shirt, and his suit coat.
karankro (n.)	buzzard, vulture, Carencro	Li oté dezyé é la li va koté sô gogo. Çé ça ìn karankro fé.	He takes out the eyes and then he goes to the backside. That's what a buzzard does.
karant (n.)	forty	De san karant pyas.	Two hundred and forty dollars.
karant-é-ènn (n.)	fourty one		
Karèm (n.)	Lent	Dan Karem plito en merkrédi é vendrédi moun fé meg.	During Lent, especially on Wednesdays and Fridays, people fast.
Karnaval (n.)	Mardi Gras	Karnaval çé Mardi Gra. Çé jour avan Karem.	Carnaval is Mardi Gras. It's the day before Lent.
karòt (n.)	carrot	No té gen pimon-yé, pa pimant sho-yé mé nou té gen tou kishoj kom karot, é lamoutad, tou zafé-çayé.	We had peppers, not hot peppers, but we had everything like carrots, mustard everything like that.
kart (n.)	card	O mé yé gen kat pou medikamon, gen kat pou doktè.	But they have cards for medicine, and cards for the doctor.
kasé, kas (v.)	1. to break<br>2. to tear down, demolish<br>3. to clear up, to break up (a cold)<br>4. to break, break down, eliminate<br>5. to break, tame (a horse)<br>6. to pick, harvest<br>7. to shell, shuck (corn)	1. Lafors dolo kas lalvé-la é la ça fé lakrévas.<br>2. Yé kasé la vyè mézon, é pi la yé rébati dan la mem plas.<br>3. Ça té kasé rum dan nô chest.<br>4. Moun koulè yé bat, yé kasé ça.<br>5. Shwal-la enkor shoval. Li pa kasé enkor.<br>6. Mo gen pou kasé lepi mayi.<br>7. Li kasé mayi é met ìn ta pay mayi enho latab.	1. The force of the water broke the levee and it made a crack.<br>2. They tore down the old house and then they built a new one on the same spot.<br>3. That would break up a cold in our chest.<br>4. Black people fought (against segregation) and they put an end to it.<br>5. That horse is still wild. He's not tamed yet.<br>6. I have to go harvest corn.<br>7. She shucked corn and put a pile of corn shucks on the table.
kashé (v.)	to hide	Li kashé larjan-la, peshé mwa trouvé li.	He hid the money to keep me from finding it.
kat (n.)	four	Yé t'apé peyè de koshon kat sou isi.	They were paying four cents (a pound) for hogs here.
Katolik (n., adj.)	Catholic	Si to té batizé katolik, to gen drwa det entéré la.	If you were baptized Catholic, you have a right to be buried there.
katòrz (n.)	fourteen	Li té katorz anné.	He was fourteen years old.
katrè-vin (n.)	eighty	Çé mô lafet jodi. Mo fé katre-ven-trwa.	It's my birthday today. I turned eighty-three.
katré-vin-dis (n.)	ninety	Katre-ven-dis, maké diz an enko pou fé sant an.	Ninety, I'm ten years short of a hundred.
(la)kav (n.)	basement, pantry	Li té ashté ìn baril dibœr é li té kashé li dan sô lakav.	He bought a barrel of butter and hid it in his basement.
kawènn (n.)	1. snapping turtle (loggerhead)<br>2. turtle (of any kind)<br>3. vagina<br>4. head	1. Yé gen toti kawenn-yé.<br>2.<br>3. Va netwayé tô kawenn.<br>4. Yé té pa gen zafé pou sorti san mo té koné. Mo ja di yé ça mé yé gen ìn kawenn ça dìr kom kéman.	1. The have loggerhead turtles.<br>2.<br>3. Go wash your vagina.<br>4. They had no business going out without me knowing it. I've told them that they have a head as hard as an alligator.
kayé (1. n., 2. v.)	1. notebook<br>2. cottage cheese<br>3. to curdle, to let spoil	1. Lê shoj té bomarshé, mo ashté de kayé, de kréyon al lank, de papyé é de sizo.<br>2. Lê dìlé hegri pou fé de kayé.<br>3. Pou mordé serpon, pren blon ìn dézef, kayé li, é met gombo filé en dan la.	1. Things were cheap. I bought some notebooks, some pencils, some inkpens, some paper and some scissors.<br>2. Let milk sour to make cottage cheese.<br>3. For a snakebite, take an eggwhite, let it spoitl, and put sassafras powder on it.
