word	meaning	sent_lc	sent_en
swiv (v.)	1. to follow<br>2. to follow (as a sports fan)<br>3. to understand<br>4. to attend (a class)<br>5. to follow, keep up with	1. Piti-la linm swiv nou tou partou nou alé.<br>2. Nou té swiv ball game-yé.<br>3. Mô popa é moman té fé yé lapriyè en kréyòl. Mo pa koné ça. Mo koné seyé swiv.<br>4. Pou swiv kateshish no inavé sé gro ròb-la.<br>5. Mo pa ka swiv tou ça.	1. The child likes to follow us everywhere we go.<br>2. We used to follow baseball games.<br>3. My father and mother said their prayers in Creole. I don't know them. I used to try to follow along.<br>4. To go to catechism class we had these big robes.<br>5. I can't follow all of that.
swonyé, swon (v.)	1. to care for, nurse<br>2. to take care of, feed	1. Mo pa kapab alé parskè mo gin pou swonyé piti-la.<br>2. É li té gin de grèn mayi pou dòn yé, pou dòn le poul é swonyé yé.	1. I can't go because I have to take care of the child.<br>2. And he had corn seed to give the chickens and feed them.
syèl (n.)	1. sky<br>2. heaven	1. Syèl-la tou blè jodi-la.<br>2. Lanj-yé rès dan syèl-la.	1. The sky is very blue today.<br>2. Angels live in heaven.
sô (det.)	his, hers, its		
sûr (adj.)	1. sure<br>2. surely, really	1. Mo sir ke li té vini parskè li lèsé mô lamal desi latab.<br>2. Mo té sir enjoy mo-mèm avèk li.	1. I'm sure he came because he left my mail on the table.<br>2. I sure enjoyed myself with her.
shagrin (n., adj.)	1. sorrow, pain<br>2. to feel sorry for, pity<br>3. to regret, be sorry	1. To pa gin pou pran shagrin. Ça va ran twa malad.<br>2. Mo pa shagrin pou yé ditou.<br>3. Mo shagren mo pa mandé li pli apré ça.	1. You mustn't feel sorrow. It will make you sick<br>2. I don't feel sorry for them at all.<br>3. I'm sorry I didn't ask him more about that.
shak (adj.)	1. each, every<br>2. each (one)	1. Shak fwa mo wa li, mo parl avèk li.<br>2. Mo gin in sak enba vouzòt, é shak ki a gardé enba a tombé dan sak-la.	1. Each time I see him I speak to him.<br>2. I have a sack below you, and everyone who looks down will fall into the sack.
shandèl (n.)	candle	Li té gin in lashandèl pou shak, é la pèrsonn sé viv osi lontem kònm shandèl-la sé brilé... Inavé de gran shandèl é de kour.	He had a candle for everyone, and the person would love as long as his candle burned... There were some tall candles and some short ones.
shanjé, shanj (v.)	1. to change<br>2. to change clothes<br>3. to dress, to get dressed<br>4. to trade	1. To shanj ça koush kan li tranp.<br>2. M'apé shanjé, mèt linj pròp.<br>3. Ga koman li shanjé, li gin in kilòt pròp mé sô shimij pa pròp.<br>4. Vou té ka chanjé dezèf avèk zafè pou kafé, o disik.	1. You change his diaper when he is wet.<br>2. I change clothes and put one some clean ones.<br>3. Look how he's dressed. He has clean pants but his shirt isn't clean.<br>4. You could trade things like eggs for coffee or sugar.
shanm (n.)	room	Mé çé té jish ènn metrès, inavé ènn sèl shanm, é la çé té de ti bon.	But there was only one teacher, there was only one room with little benches.
shanm-a-ben (n.)	bathroom		
shanm-a-koushé (n.)	bedroom		
(la)shans (n.)	1. luck<br>2. chance	1. To gen bon lashans tem ki to viv.<br>2. Dokté-la fé mo lopèrasyon, mé li di mon avé pa gran-shoj lashans.	1. You will have good luck as long as you live.<br>2. The doctor performed the operation, but he said I didn't have much of a chance.
shanson (n.)	song	Té shant in shanson pou Pèr Shavèrè ki toujou parl pou sin.	He sang a song for Father Chaveureux who was always talking about saints.
shanté, shant (v.)	1. to sing<br>2. to crow (roosters), to cackle (chickens)	1. Li té koné shanté en françé.<br>2. Apé shanté, fé tren é fé nik pou koushé.	1. He used to sing in French.<br>2. They sing and make noise and build nests to sleep in.
shapé, shap (v.)	1. to escape, run away<br>2. to escape, fall, fall out<br>3. to escape (from)<br>4. to drop	1. La sèl shoj ifo to fé, çé gèté li, paskè to mèt li partèr, li va shapé.&nbsp;<br>2. Ina de lwazo, yé va en de pakonyè, pou ramasé le pakonn, pou vyin sèré. la li vyin poz en le baryè, la pakonn-la shap endan yé bèk, li tonmb kòté baryè. Ça fé li lèv la.<br>3. Mo krwa li pa shapé li, shapé boug-la.<br>4.&nbsp;	1. The only thing you have to do, is watch him, because if you put him on the ground he'll escape.<br>2. There are some birds who go into pecan trees to gather pecans to hoard away. Then they come to rest on the fence, and the pecan falls from their beak. It falls beside the fence and it grows right there.<br>3. I think she can't escape him, escape that man.<br>4.
shapo (n.)	hat	Montré mwa tô shapo nèf.	Show me your new hat.
shar (n.)	1. car<br>2. train<br>3. boxcar, train car	1. Mô sèr té gin in bon sha.<br>2. To wa gro bildin avèk in depo. Kan le shar té pasé, le moun té kouri la pou prann shar, en shmenn de fèr.<br>3. Kan yé gin shar-çala plin...	1. My sister had a good car.<br>2. Do you see the big building with a depot? When the train used to come by, people would go there to catch the train.<br>3. When they've got the wagon full...
sharé, shar (v.)	to chat	Mo kontan pou sharé avèk twa.	I'm happy to talk with you.
sharshé, sharsh (v.)	1. to look for<br>2. to try (to find out)	1. Yé tou gòn, sharshé in pè louvraj, mo pans.<br>2. Kan ina kèkenn mouri, l'apé sharshé ekan yé gin vèyé pou li vini shanté.	1. They've all gone to look for work, I think.<br>2. When someone died he tried to find out when there would be a wake so he could come and sing.
shasé, shas (v.)	1. to hunt<br>2. to chase out	1. Mo deja shashé de kokodri. Çé té kat fwa, mo krwa, sen fwa, trap yé vivan.<br>2. Yé shashé le Françé de la Kanada.	1. I've hunted alligator four or five times, I think. We caught them alive.<br>2. They chased the Frenc out of Canada.
shawi (n.)	racoon	M'ap miré mô fizi pou chwé shawi.	I'm aiming my shotgun to kill a racoon.
shær (adj., adv., n.)	1. expensive<br>2. dear<br>3. dearly<br>4. dear, honey (term of endearment)	1. Mé yé shèr isi.<br>2. Mo shèr padna.<br>3. Repèlé two to va payé byin shèr tou tô mentiri.<br>4. O le kòrnè, kòrnè, shèr, le bal de mézon, yé té violòn. la muzik dousman é la muzik vit, yé té mèlé ça.	1. But they're expensive here.<br>2. My dear friend.<br>3. Remember that you will pay dearly for all your lies.<br>4. Oh, the coronets, the coronets, me dear, at house dances they had violins. Slow music, fast music, they mixed in both of them.
shevrèt (n.)	shrimp	Kan to fé in gombo fevi, to ka mèt sosis, shevrèt, ...	When you make an okra gumbo you can add sausage, or shrimp...
shè (li) (prep.)	at the home of (owner indicated directly after noun)	Shmin pou vini shè-mwa kouvèr avèk kayou.	The round to my house is covered with gravel.
shèvè (n.)	1. hair<br>2. body hair	1. To patajé sô shèvè dan milyè é to penyé li, to très li.<br>2. Shèvè en mô bra.	1. You part her hair in the middle and then you comb it and braid it.<br>2. The hair on my arms.
shèvréy (n.)	deer	To koné pèlé tô shyin avèk in bourgo kan li ap lansé in shèvréy.	You can call your dog with a horn when he's chasing a deer.
shiké, shik (v.)	to chew	Pou jonsiv gonflè, prenn in rasin refò é shik ça kònm la gonm.	For swollen gums, take a horseradish root and chew that like gum.
shimij (n.)	shirt	Mo pliyé mô shimij.	I tucked in my shirt.
shiyé, shiy (v.)	to shit	Mo wa in ta kaka. Shyin a shiyé par-tèr, ça çé in ta lamèrd.	I see a pile of shit. The dog shit on the ground, that's a pile of shit.
shmin (n.)	road	Li t'apé bwaté dan shmin.	He was limping down the road.
sho (adj., n.)	1. hot<br>2. movie<br>3. heat	1. So tô manjé tro sho, to gin pou fredi li pou to koné manjé li.<br>2. To ka di, "Mo kouri wa in sho."<br>3. Çé in zafèr pou sho.	1. If your food is too hot, you have to let it cool down so you can eat it.<br>2. You can say, "I went to see a show."<br>3. That is a thing meant for hot weather.
shodyær (n.)	1. cooking pot, pan<br>2. frying pan	1. La potas ça vè min çé la lesi ki rès dan la fon d la shodyèr.<br>2. Mo tournè dezef-la endan shodèr-la.	1. Pot-ash is the acid that stays in the bottom of the kettle.<br>2. I turned the egg over in the frying pan.
shoké (v.)	1. to be angry, get angry<br>2. to anger	1. De-fwa ça sòr en kréòl parskè la mo shoké.<br>2. Arèt, parskè t'apé shoké mwa.	1. Sometimes it comes out in Creole, because then I'm mad.<br>2. Stop it, you're making me mad.
(dé)shou (n.)	cabbage	Mo fé ìn pe déshou. Mo kwi çá avèk lavyann salé.	I made some cabbage. I cooked it with salted meat.
shval (n.)	horse	Mô nèvè té linmé kasé shval maron.	My nephew used to like to tame wild horses.
shyin (n.)	1. greedy, stingy<br>2. dog<br>3. hog, glutton<br>4. hammer (of a gun)	1. Çé shyin, çé shyin!<br>2. Mô fiy maré sô shyin ora sô lamézon.<br>3. To tro shyin twa. To bouré twa tro.<br>4. To armé li ka t é pull lever-la, mé lontem pasé yé té gin shyin. To pèl ça in shyin en kréòl.	1. He's so greedy!<br>2. My daughter tied her dog close to the house.<br>3. You're too gluttonous. You eat too much.<br>4. You cock it when you're pulling the lever, but a long time ago they had a hammer.
(la)tab (n.)	table	Mèt la nap dan latab é nou va mèt latab.	Put a table clothe on the table and we'll set the table.
taba (n.)	tobacco	Li shiké taba tou lajourné.	He chews tobacco all day long.
taktak (n.)	popcorn	Yé té dòn nou in plòt taktak.	They had given us a popcorn ball.
talœr (adv.)	1. a moment ago, a short while ago<br>2. soon, in a little bit, shortly	1. Li pèlé mwa talèr pou di mwa l'ap vini demin.<br>2. No va alé deyòr talèr.	1. He called me a little while ago to tell me he's coming tomorrow.<br>2. We'll go outside shortly.
tambou (n.)	drum		
tan (adj., adv.)	1. so many, so much<br>2. so much, a certain amount	1. Inavé tan moun laba mo pa wa li.<br>2. Vou ramas tan.	1. There were so many people there I didn't see him.<br>2. You only pick up a certain amount.
tandi (conj.)	while, whereas	tandi tô moman pa la, to kapab dansé kolé.	While your mama isn't there,&nbsp; you can dance close.
tanpri (int.)	please, I beg you	Rantré, tanpri. Asi. Rès pa debout.	Come in please. Sit down. Don't stay standing.
tant (n.)	aunt	Mô tant té gin in kriz de nèrf. Li té dan lopital.	My aunt had a nervous breakdown. She was in the hospital.
tar (adv.)	late	Li toujou gin in lèskiz. Li toujou tar pou travay.	He's always got an excuse. He's always late for work.
tas (n.)	cup	Mo brilé in tas disik é mo mèt dilé endan pou fé dilé karomèl.	I burned a cup of sugar and i put milk in to make caramel milk.
tayé, tay (n., v.)	1. beating, whipping<br>2. to cut out, to trim<br>3. to beat, whip<br>4. to spank	1. In bon rensé, in bon rens, çé in bon tayé.<br>2. M'apé fé in pantalon é in fwa ke mo mèt mô patron desi mô letof, mo tayé li.<br>3. Pou tayé li yé sé fouyé in trou, é fé li koushé en sô vant, pèshé blèsé ti b'bé-la, yé sé tayé li.<br>4. Si to rèst pa trankin, m'a tayé twa.	1. A good thrashing is a good beating.<br>2. I'm making a pair of pants and once I put my pattern on top of my material, I cut it out.<br>3. To whip her they would dig a hole and have her lie down on her stomach, to keep from harming the child, and they would whip her.<br>4. If you don't stay still, I'll spank you.
(la)tær (n.)	earth, ground, dirt	Ça-fé li mèt mayi par-tær en latær.	So he put corn down on the ground.
tem (n.)	1. time<br>2. time, life<br>3. time, occasion<br>4. weather<br>5. menstrual period	1. Mo pa gin tem.<br>2. Mo kòné li tou mô tem.<br>3. Mo kapab rapèl ke ina tem nou té gin jish de patat pou manjé endan lamézon.<br>4. Tem-la tou kouvèr, to wa.<br>5. Fenm-la gin sô tem.	1. I don't have time.<br>2. I've known him all my life.<br>3. I can remember times when all we had to eat in the house was potatoes.<br>4. The weather is all cloudy, you see.<br>5.That woman is having her period.
